,ner,words
0,O,[CLS]
1,O,before
2,O,proceeding
3,O,further
4,O,","
5,O,i
6,O,should
7,O,like
8,O,to
9,O,inform
10,O,members
11,O,that
12,O,action
13,O,on
14,O,draft
15,O,resolution
16,O,iv
17,O,","
18,O,entitled
19,O,situation
20,O,of
21,O,human
22,O,rights
23,O,of
24,O,ro
25,O,##hing
26,O,##ya
27,O,muslims
28,O,and
29,O,other
30,O,minorities
31,O,in
32,O,myanmar
33,O,is
34,O,postponed
35,O,to
36,O,a
37,O,later
38,O,date
39,O,to
40,O,allow
41,O,time
42,O,for
43,O,the
44,O,review
45,O,of
46,O,its
47,O,programme
48,O,budget
49,O,implications
50,O,by
51,O,the
52,O,fifth
53,O,committee
54,O,.
55,O,the
56,O,assembly
57,O,will
58,O,take
59,O,action
60,O,on
61,O,draft
62,O,resolution
63,O,iv
64,O,as
65,O,soon
66,O,as
67,O,the
68,O,report
69,O,of
70,O,the
71,O,fifth
72,O,committee
73,O,on
74,O,the
75,O,programme
76,O,budget
77,O,implications
78,O,is
79,O,available
80,O,.
81,O,i
82,O,now
83,O,give
84,O,the
85,O,floor
86,O,to
87,O,delegation
88,O,##s
89,O,wishing
90,O,to
91,O,deliver
92,O,explanations
93,O,of
94,O,vote
95,O,or
96,O,position
97,O,before
98,O,voting
99,O,or
100,O,adoption
101,O,.
102,O,[SEP]
